Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortVol-Exempt
FBHS,20200601,164860,210,265788,"B,Q,N",164650
WRB,20200601,72552,1074,132793,"B,Q,N",71478
DISH,20200601,434954,2700,713746,"B,Q,N",432254
PNW,20200601,71863,100,238268,"Q,N",71763
RE,20200601,38365,0,75419,"B,Q,N",38365
LNC,20200601,291963,1883,445557,"B,Q,N",290080
FFIV,20200601,36805,300,72019,"B,Q,N",36505
ALB,20200601,122362,3141,259657,"B,Q,N",119221
TXT,20200601,147533,1700,231141,"B,Q,N",145833
UAL,20200601,17941189,187442,35026331,"B,Q,N",17753747
WHR,20200601,84220,629,124780,"B,Q,N",83591
IRM,20200601,666675,175,967773,"B,Q,N",666500
REG,20200601,94885,0,211081,"B,Q,N",94885
GL,20200601,105885,315,170130,"Q,N",105570
JNPR,20200601,305677,600,446275,"B,Q,N",305077
UHS,20200601,59829,5872,158786,"B,Q,N",53957
CPB,20200601,579029,13823,1190697,"B,Q,N",565206
COG,20200601,1425566,2472,2084163,"B,Q,N",1423094
HII,20200601,41038,788,80949,"B,Q,N",40250
TAP,20200601,232894,11082,603670,"B,Q,N",221812
WRK,20200601,214558,4024,669966,"B,Q,N",210534
SNA,20200601,67672,141,129406,"B,Q,N",67531
FANG,20200601,442661,2721,719635,"B,Q,N",439940
LYV,20200601,469635,1584,895879,"B,Q,N",468051
PRGO,20200601,39687,4702,123229,"Q,N",34985
DVA,20200601,131263,1170,213760,"B,Q,N",130093
CCL,20200601,11465181,114250,20243182,"B,Q,N",11350931
BWA,20200601,543182,6500,762475,"B,Q,N",536682
IPG,20200601,359701,365,636998,"B,Q,N",359336
DISCK,20200601,189945,830,290080,"B,Q,N",189115
AOS,20200601,132285,1708,223209,"B,Q,N",130577
CF,20200601,142150,245,416594,"B,Q,N",141905
PNR,20200601,65900,1127,280041,"B,Q,N",64773
AIZ,20200601,24541,0,77646,"Q,N",24541
FRT,20200601,153831,905,216449,"B,Q,N",152926
AAL,20200601,14079815,120016,26058215,"B,Q,N",13959799
RHI,20200601,100509,3514,211046,"B,Q,N",96995
VNO,20200601,489903,250,596147,"B,Q,N",489653
MHK,20200601,115117,500,174733,"B,Q,N",114617
ZION,20200601,154852,1200,246229,"B,Q,N",153652
FLIR,20200601,117485,6100,372093,"B,Q,N",111385
CMA,20200601,94511,6126,283171,"B,Q,N",88385
ROL,20200601,153699,1104,232788,"B,Q,N",152595
BEN,20200601,549978,2710,775618,"B,Q,N",547268
HWM,20200601,181218,0,817752,"Q,N",181218
AIV,20200601,67726,500,121904,"Q,N",67226
KIM,20200601,633771,6731,1879034,"B,Q,N",627040
NWL,20200601,253154,2990,1036523,"B,Q,N",250164
PWR,20200601,231683,106,452423,"B,Q,N",231577
IPGP,20200601,53240,606,103315,"B,Q,N",52634
PBCT,20200601,353706,7350,736337,"B,Q,N",346356
NLSN,20200601,361931,100,562521,"B,Q,N",361831
SEE,20200601,94806,2003,164360,"B,Q,N",92803
NOV,20200601,590198,1250,803700,"B,Q,N",588948
ALK,20200601,616603,3323,1007138,"B,Q,N",613280
HFC,20200601,241337,997,385814,"B,Q,N",240340
MRO,20200601,5095062,101885,15375057,"B,Q,N",4993177
DVN,20200601,1069255,31292,3817826,"B,Q,N",1037963
NBL,20200601,2059629,14940,4748009,"B,Q,N",2044689
APA,20200601,3788515,69090,11244937,"B,Q,N",3719425
MOS,20200601,255765,1700,761036,"B,Q,N",254065
NWSA,20200601,152712,3800,272927,"B,Q,N",148912
FOX,20200601,62682,100,108841,"B,Q,N",62582
LEG,20200601,71648,100,223227,"B,Q,N",71548
TPR,20200601,1368875,330,2524364,"B,Q,N",1368545
DXC,20200601,891588,44949,3034865,"B,Q,N",846639
HBI,20200601,520971,1502,1294693,"B,Q,N",519469
SLG,20200601,168926,84,385879,"B,Q,N",168842
